"","valor_beta","valor_muB","valor_muE","valor_muI","valor_rho","maximo","tiempo_maximo","tiempo_mayor_infectados","parasitemia_en_valor_maximo"
"252",44.43,54,12.735,23.045,66.025,869843700.929776,0.003,0.003,100
"253",28.145,36.78,31.385,50.4,90.745,878081634.382696,0.001,0.001,100
"254",55.35,78.415,61.085,26.25,20.675,595385910.153197,0.008,0.007,100
"255",0.355,30.135,62.02,16.06,83.19,758643982.977688,0.004,0.003,100
"256",94.755,91.87,44.61,62.59,37.96,824758992.320843,0.002,0.002,100
"257",1.6,55.54,47.25,57.695,28.09,783040416.910155,0.003,0.003,100
"258",79.225,26.335,11.95,63.795,76.035,886819551.973109,0.001,0.001,100
"259",88.68,87.29,20,79.865,22.985,805951824.182024,0.003,0.003,100
"260",69.88,81.935,80.53,46.91,85.2,804493139.804504,0.002,0.001,100
"261",22.435,7.565,21.31,21.93,29.59,783132808.720899,0.007,0.006,100
"262",58.56,87.155,95.92,13.275,26.41,394064103.871671,0.011,0.01,100
"263",10.725,17.7,37.615,91.895,8.03,630684404.034844,0.007,0.006,100
"264",57.185,12.445,11.17,37.275,37.63,837949427.547554,0.004,0.003,100
"265",6.36,71.095,51.085,37.66,10.135,513519978.254278,0.012,0.01,100
"266",27.83,12.785,65.1,67.87,13.04,612333461.734795,0.006,0.005,100
"267",68.925,64.655,42.04,64.025,14.82,718081668.877449,0.005,0.005,100
"268",57.655,32.29,21.695,6.535,1.255,14843256.9135066,0.237,0.18,99.5141335504249
"269",31.045,49.425,12.305,81.43,58.365,883496831.218661,0.001,0.001,100
"270",54.535,97.055,19.685,70.115,78.435,876451832.557565,0.001,0.001,100
"271",38.145,14.39,79.88,66.45,77.68,843746452.148939,0.001,0.001,100
"272",16.37,88.955,8.965,45.235,54.265,876278205.527751,0.002,0.002,100
"273",9.055,63.555,48.425,90.955,18.895,757204492.635846,0.003,0.003,100
"274",32.605,86.395,9.545,25.12,19.04,796512361.446035,0.01,0.009,100
"275",91.89,63.37,25.54,9.745,70.495,785112012.532564,0.007,0.006,99.9999999999999
"276",18.14,84.84,94.42,30.435,48.965,717886797.557573,0.003,0.003,100
"277",11.585,50.6,70.18,2.245,54.415,226426831.111519,0.027,0.022,100
"278",64.155,44.385,1.385,34.535,66.425,894182031.050433,0.002,0.002,100
"279",13.29,70.135,59.12,23.395,88.93,799244002.952371,0.003,0.002,100
"280",54.895,13.12,71.355,69.57,23.2,735715433.616292,0.003,0.003,100
"281",3.355,22.565,95.215,84.425,42.095,760464595.069121,0.002,0.002,100
"282",78.895,74.8,64.635,89.93,91.22,840841273.790417,0.001,0.001,100
"283",41.845,90.715,44.855,59.88,19.525,749713186.829762,0.004,0.004,100
"284",46.075,37.88,18.77,25.98,24.88,769259063.762403,0.007,0.006,97.4512412663077
"285",86.05,91.05,78.475,46.22,71.945,802014126.350304,0.002,0.002,100
"286",95.45,57.205,52.75,42.965,66.9,825146150.382899,0.002,0.002,100
"287",86.335,36.29,1.655,5.215,26.38,836602639.599973,0.034,0.029,100
"288",33.995,18.885,77.83,82.33,2.8,188061539.210712,0.02,0.017,100
"289",43.545,60.345,90.235,98.935,69.66,827956181.357737,0.001,0.001,100
"290",87.255,73.735,3,58.165,16.26,844655248.370537,0.005,0.005,100
"291",12.58,47.705,84.095,66.155,95.915,843328428.096356,0.001,0.001,100
"292",54.24,70.21,80.375,1.06,96.645,170000539.824631,0.028,0.023,100
"293",45.38,4.015,93.9,28.26,35.405,634875351.852446,0.005,0.004,100
"294",61.135,72.035,13.785,7.655,24.085,675792500.327175,0.024,0.021,100
"295",88.58,17.46,69.015,7.97,21.31,292121477.437993,0.021,0.018,100
"296",55.915,87.565,5.915,56.645,77.815,846485722.356832,0.002,0.001,100
"297",55.175,6.805,45.99,35.78,37.13,767728567.426482,0.004,0.003,100
"298",64.7,54.995,25.3,51.895,36.605,818659034.364706,0.003,0.003,100
"299",94.56,57.515,30.955,42.615,15.79,718446611.409461,0.007,0.006,100
"300",81.08,20.055,5.215,78.885,8.335,749408932.432158,0.008,0.007,100
"301",45.41,23.225,95.7,17.44,36.935,546685332.22988,0.007,0.006,100
"302",22.31,28.93,59.335,77.24,72.705,851895925.707641,0.001,0.001,100
"303",82.035,94.07,61.825,70.93,71.33,853087681.730596,0.001,0.001,100
"304",6.645,2.165,41.115,27.7,32.95,752821259.944497,0.005,0.005,100
"305",15.81,5.945,64.58,33.3,43.085,738688054.121189,0.004,0.003,100
"306",93.165,24.745,11.595,78.105,16.14,808916644.960683,0.004,0.004,100
"307",11.09,88.75,8.56,1.69,73.72,712572912.994926,0.035,0.03,100
"308",82.24,41.085,73,14.55,14.54,318727218.490677,0.018,0.015,100
"309",59.665,79.87,34.64,8.4,12.615,327446339.076776,0.036,0.03,99.9999999999999
"310",19.195,16.68,81.505,85.225,93.26,837037239.02326,0.001,0.001,100
"311",49.685,96.165,63.485,25.505,77.47,788659869.729769,0.003,0.002,100
"312",61.77,56.655,80.045,31.325,25.415,614458226.769421,0.006,0.005,100
"313",48.87,27.05,53.695,63.365,0.97,1e+07,0,0.073,1.0989010989011
"314",9.865,95.795,79.595,41.56,45.385,749164630.985718,0.003,0.002,100
"315",76.955,33.58,7.185,58.895,8.595,749264097.67487,0.01,0.009,100
"316",42.23,44.95,57.785,8.155,90.055,691992686.771308,0.006,0.005,100
"317",70.715,21.98,99.655,15.465,60.75,628335269.990163,0.005,0.004,100
"318",12.33,56.405,76.535,36.22,25.97,656397663.670256,0.005,0.004,100
"319",55.575,33.365,38.08,38.47,44.6,811460144.640524,0.003,0.003,100
"320",38.58,36.6,27.53,53.425,80.45,835410889.933673,0.002,0.001,100
"321",6.055,93.045,18.94,6.71,17.935,517704847.188472,0.035,0.03,100
"322",57.825,40.12,48.87,45.615,76.675,827939082.320407,0.002,0.002,100
"323",65.3,60.58,91.46,99.97,78.035,826599287.336258,0.001,0.001,100
"324",42.16,79.27,38.835,2.425,80.875,491953946.703346,0.021,0.017,100
"325",47.605,20.92,90.49,39.38,27.53,653023807.742028,0.004,0.004,98.535596641199
"326",52.875,56.86,76.35,90.78,91.675,836126738.835314,0.001,0.001,100
"327",80.015,51.64,88.275,3.975,38.59,223698259.250667,0.021,0.017,99.9999999999999
"328",38.33,42.83,51.345,90.27,98.71,844392540.938343,0.001,0.001,100
"329",76.21,96.68,58.515,61.005,90.21,857510734.440326,0.001,0.001,100
"330",85,66.125,99.275,72.22,25.19,695805981.90562,0.003,0.003,100
"331",92.375,97.925,13.905,84.025,7.595,712528981.305118,0.008,0.007,100
"332",8.715,63.625,64.125,49.4,60.165,810191323.762364,0.002,0.002,100
"333",46.96,32,68.84,43.185,28.585,712512746.29338,0.004,0.004,100
"334",44.21,92.645,75.66,55.13,28.655,737150639.198292,0.003,0.003,100
"335",90.275,76.885,22.1,75.89,7.745,652233407.846864,0.009,0.008,100
"336",2.355,69.425,2.28,27.055,53.4,868288720.896913,0.004,0.003,100
"337",7.25,57.8,32.355,25.38,85.36,833803002.704154,0.003,0.002,100
"338",93.31,42.79,82.53,42.295,18.26,592329500.488459,0.006,0.005,100
