"","V1","V2","V3","V4","V5","V6"
"270","muB",1.7,672825294.385509,0.215,0.16,1886.70927936605
"271","muB",1.8,672549359.118441,0.215,0.161,1848.27666945333
"272","muB",1.9,672264355.216884,0.215,0.161,1810.87718116923
"273","muB",2,671970263.787857,0.215,0.161,1774.47727114343
"274","muB",2.1,671697987.022752,0.216,0.161,1870.78073326195
"275","muB",2.2,671422422.32212,0.216,0.161,1832.86379862442
"276","muB",2.3,671137831.461178,0.216,0.161,1795.96137157035
"277","muB",2.4,670844196.356062,0.216,0.162,1760.0406710344
"278","muB",2.5,670566275.399493,0.217,0.162,1854.28959516758
"279","muB",2.6,670290918.286802,0.217,0.162,1816.9008275992
"280","muB",2.7,670006577.351972,0.217,0.162,1780.50764319067
"281","muB",2.8,669713235.164003,0.217,0.162,1745.07802412198
"282","muB",2.9,669430261.678002,0.218,0.162,1837.27503060879
"283","muB",3,669154953.70439,0.218,0.163,1800.42561219811
"284","muB",3.1,668870704.38124,0.218,0.163,1764.55260769945
"285","muB",3.2,668577496.596641,0.218,0.163,1729.62474566098
"286","muB",3.3,668290037.721135,0.219,0.163,1819.77559791115
"287","muB",3.4,668014625.436791,0.219,0.163,1783.47546565506
"288","muB",3.5,667730313.896476,0.219,0.164,1748.13234777735
"289","muB",3.6,667437086.806697,0.219,0.164,1713.71575077589
"290","muB",3.7,667145686.437984,0.22,0.164,1801.82919141675
"291","muB",3.8,666870020.953256,0.22,0.164,1766.08705216558
"292","muB",3.9,666585498.09555,0.22,0.164,1731.28235033138
"293","muB",4,666292102.369267,0.22,0.164,1697.38537144641
"294","muB",4.1,665997282.026019,0.221,0.165,1783.47293543757
"295","muB",4.2,665721218.780471,0.221,0.165,1748.29629403518
"296","muB",4.3,665436340.180347,0.221,0.165,1714.03739789714
"297","muB",4.4,665142631.199469,0.221,0.165,1680.66729243676
"298","muB",4.5,664844890.836372,0.222,0.165,1764.7431205242
"299","muB",4.6,664568289.768118,0.222,0.166,1730.13833434451
"300","muB",4.7,664282915.341282,0.222,0.166,1696.43151661548
"301","muB",4.8,663988753.152973,0.222,0.166,1663.59447893958
"302","muB",4.9,663688571.555838,0.223,0.166,1745.67511505152
"303","muB",5,663411297.004944,0.223,0.166,1711.64743515285
"304","muB",5.1,663125290.942696,0.223,0.167,1678.49789360491
"305","muB",5.2,662830539.725695,0.223,0.167,1646.19907443724
"306","muB",5.3,662528376.248785,0.224,0.167,1726.30333561121
"307","muB",5.4,662250296.633989,0.224,0.167,1692.85693581584
"308","muB",5.5,661963527.534844,0.224,0.167,1660.2688452477
"309","muB",5.6,661668055.752227,0.224,0.167,1628.51239472601
"310","muB",5.7,661364350.349096,0.225,0.168,1706.66115684866
"311","muB",5.8,661085338.398227,0.225,0.168,1673.7991963224
"312","muB",5.9,660797678.959821,0.225,0.168,1641.77573917859
"313","muB",6,660501359.425887,0.225,0.168,1610.5648669633
"314","muB",6.1,660196533.406839,0.226,0.168,1686.78089598599
"315","muB",6.2,659916466.024447,0.226,0.169,1654.50556093295
"316","muB",6.3,659627793.047577,0.226,0.169,1623.04897558551
"317","muB",6.4,659330502.775486,0.226,0.169,1592.38598012258
"318","muB",6.5,659024959.667366,0.227,0.169,1666.69377429937
"319","muB",6.6,658743717.834542,0.227,0.169,1635.00632221641
"320","muB",6.7,658453912.253075,0.227,0.17,1604.1179502253
"321","muB",6.8,658155532.134928,0.227,0.17,1574.00425080148
"322","muB",6.9,657849658.332764,0.228,0.17,1646.42987600411
"323","muB",7,657567126.836428,0.228,0.17,1615.33067273988
